iter	Passed	Remaining
0	102	102337
1	104	52030
2	107	35768
3	109	27255
4	110	22078
5	111	18554
6	112	15993
7	114	14221
8	116	12841
9	118	11701
10	120	10878
11	122	10124
12	125	9522
13	127	8963
14	129	8487
15	131	8089
16	134	7783
17	136	7446
18	138	7154
19	140	6884
20	142	6625
21	143	6387
22	145	6187
23	147	5981
24	148	5781
25	149	5585
26	149	5404
27	150	5236
28	151	5075
29	152	4924
30	153	4783
31	153	4648
32	154	4521
33	154	4402
34	155	4294
35	156	4197
36	157	4104
37	158	4018
38	159	3933
39	160	3863
40	162	3789
41	163	3719
42	163	3644
43	164	3583
44	165	3520
45	166	3458
46	167	3401
47	168	3343
48	169	3288
49	170	3236
50	171	3186
51	172	3140
52	173	3094
53	174	3062
54	176	3024
55	176	2980
56	177	2941
57	178	2902
58	179	2866
59	180	2830
60	181	2798
61	182	2762
62	183	2729
63	184	2696
64	185	2666
65	186	2633
66	186	2602
67	187	2570
68	188	2547
69	189	2521
70	191	2500
71	191	2472
72	192	2444
73	193	2418
74	194	2393
75	194	2367
76	195	2342
77	196	2317
78	196	2293
79	197	2269
80	197	2246
81	198	2223
82	199	2198
83	199	2179
84	200	2159
85	201	2141
86	202	2125
87	204	2116
88	205	2099
89	205	2080
90	206	2062
91	207	2043
92	207	2026
93	208	2013
94	209	1996
95	210	1979
96	210	1962
97	211	1946
98	212	1930
99	212	1915
100	213	1899
101	214	1884
102	214	1869
103	215	1855
104	216	1842
105	217	1832
106	218	1822
107	219	1814
108	220	1804
109	221	1793
110	222	1782
111	223	1770
112	224	1759
113	224	1747
114	225	1737
115	226	1728
116	227	1717
117	228	1707
118	229	1697
119	230	1688
120	231	1679
121	231	1668
122	232	1659
123	233	1652
124	235	1646
125	236	1640
126	237	1631
127	238	1623
128	239	1615
129	240	1607
130	241	1599
131	242	1592
132	243	1584
133	243	1575
134	244	1568
135	245	1560
136	246	1553
137	247	1547
138	249	1542
139	250	1536
140	251	1530
141	251	1521
142	252	1515
143	253	1508
144	254	1502
145	255	1495
146	256	1489
147	257	1482
148	258	1476
149	259	1469
150	260	1464
151	261	1458
152	262	1453
153	263	1450
154	265	1446
155	266	1440
156	267	1434
157	267	1427
158	268	1422
159	269	1416
160	270	1408
161	271	1404
162	272	1398
163	273	1392
164	274	1387
165	275	1383
166	276	1378
167	277	1373
168	278	1370
169	280	1367
170	281	1363
171	281	1357
172	282	1351
173	283	1346
174	284	1342
175	285	1337
176	286	1332
177	287	1326
178	288	1322
179	289	1318
180	290	1313
181	291	1309
182	292	1304
183	293	1302
184	294	1298
185	295	1294
186	296	1289
187	297	1285
188	298	1280
189	299	1276
190	300	1271
191	301	1267
192	302	1263
193	302	1258
194	303	1254
195	304	1249
196	305	1245
197	306	1241
198	307	1238
199	308	1235
200	309	1231
201	311	1228
202	312	1225
203	312	1221
204	313	1216
205	314	1212
206	315	1208
207	316	1205
208	317	1200
209	318	1197
210	319	1193
211	320	1189
212	320	1186
213	322	1183
214	323	1180
215	324	1176
216	325	1173
217	326	1170
218	327	1167
219	328	1163
220	329	1160
221	329	1156
222	330	1152
223	331	1149
224	332	1145
225	333	1142
226	334	1139
227	335	1136
228	336	1133
229	337	1130
230	338	1127
231	339	1124
232	340	1121
233	341	1118
234	342	1115
235	343	1111
236	344	1108
237	345	1104
238	345	1101
239	346	1098
240	347	1095
241	348	1091
242	349	1088
243	350	1086
244	351	1082
245	352	1081
246	354	1079
247	355	1076
248	355	1073
249	356	1070
250	357	1067
251	358	1064
252	359	1061
253	360	1059
254	361	1055
255	362	1053
256	363	1050
257	364	1047
258	365	1044
259	366	1041
260	367	1040
261	368	1038
262	369	1036
263	370	1033
264	371	1030
265	372	1028
266	373	1025
267	374	1022
268	375	1019
269	375	1015
270	376	1013
271	377	1010
272	378	1008
273	379	1004
274	379	1001
275	380	998
276	381	995
277	382	993
278	383	991
279	384	989
280	385	986
281	386	983
282	387	981
283	388	978
284	389	976
285	390	973
286	390	971
287	391	968
288	392	965
289	393	963
290	394	961
291	395	958
292	396	956
293	397	954
294	398	953
295	399	950
296	400	947
297	401	944
298	401	942
299	402	939
300	403	936
301	403	933
302	404	930
303	405	928
304	406	925
305	407	923
306	407	920
307	408	917
308	409	914
309	409	912
310	410	909
311	411	906
312	411	904
313	413	903
314	414	901
315	415	899
316	416	897
317	417	895
318	418	892
319	419	890
320	420	888
321	420	886
322	421	884
323	422	882
324	423	880
325	424	878
326	425	876
327	426	874
328	429	875
329	430	873
330	431	871
331	432	870
332	433	867
333	434	865
334	435	863
335	435	861
336	436	859
337	437	856
338	438	854
339	439	852
340	440	850
341	441	848
342	443	848
343	444	846
344	445	845
345	445	842
346	446	840
347	447	838
348	448	836
349	449	834
350	450	832
351	451	830
352	452	828
353	452	826
354	453	824
355	454	822
356	455	820
357	456	818
358	457	817
359	459	816
360	460	814
361	460	812
362	461	810
363	462	808
364	463	806
365	464	804
366	465	802
367	466	800
368	466	798
369	468	796
370	468	795
371	469	793
372	470	791
373	472	790
374	473	789
375	474	787
376	475	786
377	477	784
378	477	783
379	479	781
380	479	779
381	481	778
382	482	776
383	482	774
384	483	772
385	484	770
386	485	769
387	487	768
388	488	767
389	489	765
390	490	763
391	491	761
392	491	759
393	492	758
394	494	756
395	495	755
396	495	753
397	496	751
398	497	749
399	498	747
400	499	746
401	500	744
402	502	743
403	503	742
404	504	740
405	505	739
406	505	737
407	506	735
408	507	733
409	508	732
410	509	730
411	510	729
412	511	727
413	512	725
414	513	724
415	514	722
416	515	720
417	516	719
418	517	718
419	519	716
420	520	715
421	521	713
422	522	712
423	523	710
424	523	708
425	524	707
426	525	705
427	526	703
428	527	701
429	528	700
430	529	698
431	529	696
432	531	695
433	532	694
434	533	692
435	534	691
436	534	689
437	535	687
438	536	685
439	537	684
440	538	682
441	539	680
442	540	679
443	540	677
444	541	675
445	542	674
446	543	672
447	544	670
448	545	669
449	546	668
450	547	666
451	548	665
452	549	663
453	550	662
454	551	660
455	552	659
456	553	657
457	554	656
458	555	654
459	556	653
460	557	651
461	558	649
462	558	648
463	559	646
464	562	646
465	563	645
466	564	644
467	565	642
468	566	641
469	567	639
470	567	637
471	568	636
472	569	634
473	570	632
474	571	631
475	572	629
476	572	628
477	573	626
478	574	625
479	576	624
480	578	623
481	579	622
482	579	620
483	580	619
484	581	617
485	582	616
486	583	615
487	584	613
488	585	612
489	586	610
490	587	609
491	588	607
492	589	606
493	591	605
494	592	604
495	593	603
496	594	601
497	595	599
498	595	598
499	596	596
500	597	594
501	598	593
502	598	591
503	599	589
504	600	588
505	600	586
506	601	585
507	602	583
508	603	581
509	603	580
510	604	578
511	605	576
512	606	575
513	607	574
514	608	572
515	609	571
516	610	569
517	611	568
518	611	567
519	612	565
520	613	564
521	614	562
522	615	561
523	616	559
524	617	558
525	618	556
526	618	555
527	619	554
528	621	552
529	622	551
530	623	550
531	624	549
532	625	548
533	626	546
534	627	545
535	628	543
536	629	542
537	630	541
538	630	539
539	631	538
540	632	536
541	633	535
542	634	534
543	636	533
544	637	532
545	638	530
546	639	529
547	640	527
548	640	526
549	641	525
550	642	523
551	643	522
552	644	520
553	645	519
554	645	517
555	646	516
556	647	515
557	648	513
558	649	512
559	650	511
560	652	510
561	653	509
562	654	507
563	655	506
564	655	504
565	656	503
566	657	502
567	658	501
568	659	499
569	660	498
570	661	496
571	662	495
572	663	494
573	664	492
574	666	492
575	667	491
576	668	490
577	669	488
578	670	487
579	671	486
580	672	484
581	673	483
582	674	482
583	675	480
584	675	479
585	676	478
586	677	476
587	678	475
588	679	474
589	680	473
590	681	471
591	682	470
592	683	469
593	684	468
594	685	466
595	686	465
596	687	464
597	688	463
598	689	461
599	690	460
600	691	459
601	692	457
602	693	456
603	694	455
604	695	454
605	696	453
606	697	451
607	698	450
608	699	449
609	700	448
610	701	446
611	702	445
612	703	443
613	704	442
614	704	441
615	705	440
616	706	438
617	707	437
618	708	436
619	709	434
620	710	433
621	711	432
622	713	431
623	713	430
624	714	428
625	715	427
626	716	426
627	717	425
628	718	423
629	719	422
630	720	421
631	720	419
632	721	418
633	722	417
634	723	415
635	724	414
636	725	413
637	726	412
638	727	411
639	728	409
640	729	408
641	730	407
642	731	405
643	732	404
644	732	403
645	733	402
646	735	401
647	736	399
648	737	398
649	738	397
650	738	395
651	739	394
652	741	393
653	742	392
654	742	391
655	743	389
656	744	388
657	744	387
658	745	385
659	746	384
660	747	383
661	747	381
662	748	380
663	748	379
664	749	377
665	750	376
666	751	374
667	751	373
668	752	372
669	752	370
670	753	369
671	754	368
672	756	367
673	757	366
674	758	365
675	759	363
676	760	362
677	761	361
678	761	360
679	762	358
680	763	357
681	764	356
682	765	355
683	766	354
684	767	352
685	768	351
686	768	350
687	770	349
688	771	348
689	772	347
690	773	345
691	774	344
692	775	343
693	776	342
694	777	341
695	778	339
696	778	338
697	779	337
698	780	336
699	781	334
700	782	333
701	783	332
702	784	331
703	785	330
704	786	329
705	787	328
706	788	326
707	790	325
708	791	324
709	792	323
710	793	322
711	794	321
712	795	320
713	795	318
714	796	317
715	797	316
716	798	315
717	800	314
718	802	313
719	803	312
720	804	311
721	805	310
722	806	308
723	807	307
724	808	306
725	809	305
726	810	304
727	811	303
728	811	301
729	812	300
730	813	299
731	814	298
732	815	297
733	816	295
734	817	294
735	818	293
736	819	292
737	820	291
738	821	290
739	822	288
740	823	287
741	823	286
742	824	285
743	825	284
744	826	282
745	827	281
746	828	280
747	829	279
748	830	278
749	831	277
750	832	275
751	833	274
752	834	273
753	835	272
754	836	271
755	836	270
756	837	268
757	838	267
758	839	266
759	840	265
760	841	264
761	841	262
762	842	261
763	843	260
764	845	259
765	847	258
766	848	257
767	848	256
768	849	255
769	850	254
770	851	252
771	852	251
772	853	250
773	854	249
774	854	248
775	855	247
776	856	245
777	857	244
778	858	243
779	859	242
780	861	241
781	862	240
782	863	239
783	863	238
784	864	236
785	865	235
786	866	234
787	867	233
788	868	232
789	869	231
790	870	230
791	871	228
792	872	227
793	873	226
794	873	225
795	875	224
796	876	223
797	877	222
798	878	221
799	879	219
800	880	218
801	881	217
802	882	216
803	883	215
804	884	214
805	885	213
806	885	211
807	886	210
808	887	209
809	888	208
810	889	207
811	890	206
812	892	205
813	893	204
814	894	202
815	894	201
816	895	200
817	896	199
818	897	198
819	898	197
820	899	196
821	899	194
822	900	193
823	901	192
824	902	191
825	903	190
826	904	189
827	905	188
828	906	187
829	907	185
830	908	184
831	909	183
832	910	182
833	911	181
834	912	180
835	913	179
836	914	178
837	916	177
838	917	176
839	918	174
840	918	173
841	920	172
842	921	171
843	922	170
844	922	169
845	923	168
846	925	167
847	925	165
848	926	164
849	927	163
850	928	162
851	929	161
852	929	160
853	930	159
854	931	157
855	932	156
856	933	155
857	934	154
858	935	153
859	936	152
860	937	151
861	938	150
862	939	149
863	939	147
864	940	146
865	941	145
866	941	144
867	942	143
868	943	142
869	944	141
870	944	139
871	945	138
872	946	137
873	946	136
874	947	135
875	948	134
876	949	133
877	951	132
878	952	131
879	953	129
880	954	128
881	955	127
882	956	126
883	956	125
884	957	124
885	958	123
886	958	122
887	959	121
888	960	119
889	961	118
890	962	117
891	963	116
892	963	115
893	964	114
894	965	113
895	966	112
896	967	111
897	968	109
898	968	108
899	969	107
900	970	106
901	971	105
902	971	104
903	972	103
904	973	102
905	973	101
906	974	99
907	975	98
908	976	97
909	976	96
910	977	95
911	978	94
912	979	93
913	980	92
914	981	91
915	982	90
916	983	89
917	984	87
918	985	86
919	985	85
920	986	84
921	987	83
922	988	82
923	989	81
924	990	80
925	990	79
926	991	78
927	992	76
928	993	75
929	993	74
930	994	73
931	995	72
932	996	71
933	997	70
934	998	69
935	999	68
936	1000	67
937	1000	66
938	1001	65
939	1002	63
940	1002	62
941	1003	61
942	1004	60
943	1004	59
944	1005	58
945	1006	57
946	1007	56
947	1008	55
948	1009	54
949	1010	53
950	1011	52
951	1012	51
952	1013	49
953	1013	48
954	1014	47
955	1015	46
956	1016	45
957	1016	44
958	1017	43
959	1018	42
960	1018	41
961	1019	40
962	1020	39
963	1020	38
964	1021	37
965	1022	35
966	1023	34
967	1024	33
968	1025	32
969	1026	31
970	1027	30
971	1028	29
972	1029	28
973	1030	27
974	1030	26
975	1031	25
976	1032	24
977	1033	23
978	1033	22
979	1034	21
980	1035	20
981	1035	18
982	1036	17
983	1037	16
984	1038	15
985	1039	14
986	1040	13
987	1042	12
988	1043	11
989	1044	10
990	1045	9
991	1046	8
992	1047	7
993	1048	6
994	1049	5
995	1050	4
996	1050	3
997	1052	2
998	1052	1
999	1053	0
